GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001220016 0374398              TANG STICK UVA 36X10X7GR                                               7622300147099 N              360 
7737001220016 0374402              GELATINA ROYARINA CEREZA 5 P                                           7730110000531 N              144 
7737001220016 0374622              GELATINA ROYARINA DURAZNO 5 P                                          7730110000548 N              144 
7737001220016 0374641              GELATINA ROYARINA FRUTILLA 5 P                                         7730110000524 N              144 
7737001220016 0375452              GELATINA CEREZA 144 UNID 25 GRS                                        7622300154776 N              144 
7737001220016 0375454              GELATINA FRUTILLA 144 UNID 25 GRS                                      7622300154783 N              144 
7737001220016 0375456              GELATINA DURAZNO 144 UNID 25 GRS                                       7622300154790 N              144 
7737001220016 0376473              TOBLERONE ONE BY ONE 9 X 200GR                                         7622400893216 N                9 
7737001220016 0376688              GEL LIGHT DUO KIWI/MELO 8X6X25                                         7622300167974 N               48 
7737001220016 0376689              GEL LIGHT DUO NJA/MGO 8X6X25                                           7622300167981 N               48 
7737001220016 0376690              GEL LIGHT DUO LIM/P.ROS 8X6X25                                         7622300167998 N               48 
7737001220016 0377254              MOUSSE LIMON SHIVA 48X65 GR                                            7622300173050 N               48 
7737001220016 0377263              MOUSSE DDL 8 X 6 X 65 GR SHIVA                                         7622300173135 N               48 
7737001220016 0463999              MILKA LEGER LECHE  36X25GR.                                                 77916044 N               36 
7737001220016 0470999              MILKA LEGER ALMENDRAS 30X45GR.                                              77916112 N               30 
7737001220016 0471999              MILKA LEGER LECHE 100 G X 15 U                                         7790114015177 N               15 
7737001220016 0472999              MILKA LEGER BLANCO 100 G X 15U                                         7790114015573 N               15 
7737001220016 0473999              MILKA LEGER COMBIN 100G X 15 U                                         7790114015306 N               15 
7737001220016 0474999              MILKA LEGER ALMEN 100 G X 15 U                                         7790114015191 N               15 
7737001220016 0545406              HELADO ROYARINA CHOC 96 X 50 GRS                                       7730110143320 N               96 
7737001220016 0545619              HELADO ROYARINA VAIN 96 X 50 GRS                                       7730110143344 N               96 
7737001220016 0545798              MILKA M-JOY COOKIES 30 X 70 GR                                         7622300179465 N               30 
7737001220016 0545805              MILKA M-JOY COOKIES 36 X 30 GR                                         7622300179526 N               36 
7737001220016 0545807              MILKA CHOCO CRUNCHY 18X170 GRS                                         7622300179533 N               18 
7737001220016 0545814              HELADO ROYARINA FRUT 96 X 50 GRS                                       7730110143313 N               96 
7737001220016 0545816              HELADO ROYARINA DDL 96 X 50 GRS                                        7730110143337 N               96 
7737001220016 0545976              PACK COPITA ROYALINO VAIN  20 X 63 GRS                                 7622300180959 N               20 
7737001220016 0545981              PACK COPITA ROYALINO FRUT 20 X 60 GRS                                  7622300180997 N               20 
7737001220016 0547491              BARRA CROC AVE/MIEL 1X20X23 G                                               77917232 N               20 
