GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730135000004 10021                WHISKY CRIADORES+VASO                                                  W.CRIADORES                                                   7790480010097      6 N     20150504T0309  A      
7730135000004 10024                SANTA TERESA BLANCO FRUTAL                                             VIÑA SANTA TERESA                                             7730135000271     12 N     20150504T0309  A      
7730135000004 10025                SANTA TERESA ROSADO FRUTAL                                             VIÑA SANTA TERESA                                             7730135000288     12 N     20150504T0309  A      
7730135000004 10026                VIÑA SANTA TERESA BLANCO                                               VIÑA SANTA TERESA                                             7730135000028     12 N     20150504T0309  A      
7730135000004 10027                VIÑA SANTA TERESA ROSADO                                               VIÑA SANTA TERESA                                             7730135000011     12 N     20150504T0309  A      
7730135000004 10028                VIÑA SANTA TERESA TINTO                                                VIÑA SANTA TERESA                                             7730135000035     12 N     20150504T0309  A      
7730135000004 10029                VIÑA SANTA TERESA TANNAT                                               VIÑA SANTA TERESA                                             7730135000851     12 N     20150504T0309  A      
7730135000004 10035                BOTRYTIS NOBLE                                                         DON PASCUAL                                                   7730135000585      6 N     20150504T0309  A      
7730135000004 10041                DON PASCUAL CHARDONNAY                                                 DON PASCUAL                                                   7730135000134      6 N     20150504T0309  A      
7730135000004 10042                DON PASCUAL ROBLE TANNAT                                               DON PASCUAL                                                   7730135000110      6 N     20150504T0309  A      
7730135000004 10043                DON PASCUAL ROBLE CH.VIOGNIER                                          DON PASCUAL                                                   7730135000127      6 N     20150504T0309  A      
7730135000004 10045                DON PASCUAL TANNAT MERLOT                                              DON PASCUAL                                                   7730135000141      6 N     20150504T0309  A      
7730135000004 10046                PRELUDIO C/E 2004 LOTE N°77                                            DON PASCUAL                                                   7730135000080      1 N     20150504T0309  A      
7730135000004 10048                DON PASCUAL CRIANZA 3/8 C.SAUVIGNON                                    DON PASCUAL                                                   7730135002022     12 N     20150504T0309  A      
7730135000004 10050                WHISKY CRIADORES PACK LT+PET                                           W.CRIADORES                                                   7790480088997      6 N     20150504T0309  A      
7730135000004 10053                WHISKY CRIADORES+CARBONELL                                             W.CRIADORES                                                   7730135001599      6 N     20150504T0309  A      
7730135000004 10054                WHISKY CRIADORES PETACA                                                W.CRIADORES                                                        77906106     12 N     20150504T0309  A      
7730135000004 10055                DON PASCUAL CAB.SAUVIGNON                                              DON PASCUAL                                                   7730135000165      6 N     20150504T0309  A      
7730135000004 10056                DON PASCUAL BLANC DE NOIRS                                             DON PASCUAL                                                   7730135000103      6 N     20150504T0309  A      
7730135000004 10057                WHISKY CRIADORES 3/4                                                   W.CRIADORES                                                   7790480001750      8 N     20150504T0309  A      
7730135000004 10058                WHISKY CRIADORES 1 LT                                                  W.CRIADORES                                                   7790480001613      6 N     20150504T0309  A      
7730135000004 10060                W.GLENFIDDICH 21Y OLD                                                  WILLIAM GRANT'S & SON                                         5010327304212     12 N     20150504T0309  A      
7730135000004 10069                FAMILIA DEICAS CHARDONNAY                                              DP.GUARDA                                                     7730135001179      1 N     20150504T0309  A      
7730135000004 10070                CRU GARAGE TANNAT                                                      DON PASCUAL                                                   7730135000882      1 N     20150504T0309  A      
7730135000004 10071                DON PASCUAL BLANC DE BLANCS                                            DON PASCUAL                                                   7730135000158      6 N     20150504T0309  A      
7730135000004 10072                DON PASCUAL 187 ML TANNAT MERLOT                                       DON PASCUAL                                                   7730135001452     12 N     20150504T0309  A      
7730135000004 10073                DON PASCUAL 187 ML BRUT BLANC DE BLANCS                                DON PASCUAL                                                   7730135001445     12 N     20150504T0309  A      
7730135000004 10074                DON PASCUAL 187 ML CABERNET MERLOT                                     DON PASCUAL                                                   7730135001476     12 N     20150504T0309  A      
7730135000004 10075                DON PASCUAL 187 ML BRUT BLANC DE NOIRS                                 DON PASCUAL                                                   7730135001469     12 N     20150504T0309  A      
7730135000004 10090                DON PASCUAL TANNAT                                                     DON PASCUAL                                                   7730135000097      6 N     20150504T0309  A      
7730135000004 10091                DON PASCUAL MERLOT                                                     DON PASCUAL                                                   7730135000196      6 N     20150504T0309  A      
7730135000004 10111                DON PASCUAL RESERVE CAB.SAUVIG                                         DP.3/4 RESERVA                                                7730135000615      6 N     20150504T0309  A      
7730135000004 10113                DON PASCUAL 3/8 CHARDONNAY                                             DON PASCUAL                                                   7730135000417     12 N     20150504T0309  A      
7730135000004 10114                DON PASCUAL 3/8 T.MERLOT                                               DON PASCUAL                                                   7730135000363     12 N     20150504T0309  A      
7730135000004 10115                DON PASCUAL 3/8 TANNAT                                                 DON PASCUAL                                                   7730135000370     12 N     20150504T0309  A      
7730135000004 10116                DON PASCUAL 3/8 C.SAUVIGNON                                            DON PASCUAL                                                   7730135000387     12 N     20150504T0309  A      
7730135000004 10117                DON PASCUAL 3/8 B.DE NOIR                                              DON PASCUAL                                                   7730135000394     12 N     20150504T0309  A      
7730135000004 10119                DON PASCUAL 3/8 B.DE BLANCS                                            DON PASCUAL                                                   7730135000400     12 N     20150504T0309  A      
7730135000004 10125                DON PASCUAL RESERVE CHARDONNAY                                         DP.3/4 RESERVA                                                7730135000653      6 N     20150504T0309  A      
7730135000004 10126                VINO TANGO BLANCO                                                      TANGO                                                         7730135000295     12 N     20150504T0309  A      
7730135000004 10127                VINO TANGO ROSADO                                                      TANGO                                                         7730135000301     12 N     20150504T0309  A      
7730135000004 10128                VINO TANGO TINTO                                                       TANGO                                                         7730135000318     12 N     20150504T0309  A      
7730135000004 10156                DON PASCUAL RESERVE SHIRAZ TT.                                         DP.3/4 RESERVA                                                7730135000189      6 N     20150504T0309  A      
7730135000004 10157                DON PASCUAL RESERVE TANNAT                                             DP.3/4 RESERVA                                                7730135000462      6 N     20150504T0309  A      
7730135000004 10158                DON PASCUAL 3/8 MERLOT                                                 DON PASCUAL                                                   7730135000622     12 N     20150504T0309  A      
7730135000004 10174                FERNET LUSERA                                                          CEPAS ARGENTINAS                                              7790950000597      6 N     20150504T0309  A      
7730135000004 10192                DON PASCUAL RESERVE MERLOT                                             DP.3/4 RESERVA                                                7730135000516      6 N     20150504T0309  A      
7730135000004 10200                PBLO.DEL SOL TANNAT                                                    PUEBLO DEL SOL                                                7730135000479      6 N     20150504T0309  A      
7730135000004 10201                PBLO.DEL SOL CAB.SAUV.                                                 PUEBLO DEL SOL                                                7730135000509      6 N     20150504T0309  A      
7730135000004 10202                PBLO.DEL SOL PINOT NOIR                                                PUEBLO DEL SOL                                                7730135000523      6 N     20150504T0309  A      
7730135000004 10203                PBLO.DEL SOL TANNAT ROSE                                               PUEBLO DEL SOL                                                7730135000530      6 N     20150504T0309  A      
7730135000004 10204                PBLO.DEL SOL MERLOT ROSE                                               PUEBLO DEL SOL                                                7730135000486      6 N     20150504T0309  A      
7730135000004 10205                PBLO.DEL SOL SAUVI.BLANC                                               PUEBLO DEL SOL                                                7730135000493      6 N     20150504T0309  A      
7730135000004 10224                V.RICHARDS ESTATE CHARDONNAY                                           VINSON RICHARD'S                                               736040010036     12 N     20150504T0309  A      
7730135000004 10225                V.RICHARDS ESTATE SHIRAZ                                               VINSON RICHARD'S                                              7730135000981     12 N     20150504T0309  A      
7730135000004 10226                V.RICHARDS ESTATE CABERNET                                             VINSON RICHARD'S                                               736040010043     12 N     20150504T0309  A      
7730135000004 10227                CYT C.DIABLO SPARKLING WINE                                            CONCHA Y TORO                                                 7804320339320     12 N     20150504T0309  A      
7730135000004 10228                CYT MARQUES CARMENERE                                                  CONCHA Y TORO                                                 7804320365039     12 N     20150504T0309  A      
7730135000004 10229                CYT MARQUES SYRAH                                                      CONCHA Y TORO                                                 7804320117294     12 N     20150504T0309  A      
7730135000004 10230                V.RICHARDS ESTATE MERLOT                                               VINSON RICHARD'S                                               736040010050     12 N     20150504T0309  A      
7730135000004 10239                PRELUDIO BLANCO C/E                                                    DON PASCUAL                                                   7730135000073      1 N     20150504T0309  A      
7730135000004 10243                WHISKY CRIADORES+PRINGLES                                              W.CRIADORES                                                   7790480089369      6 N     20150504T0309  A      
7730135000004 10244                DON PASCUAL ROBLE CAB.SAUVIGN                                          DON PASCUAL                                                   7730135000714      6 N     20150504T0309  A      
7730135000004 10249                PACK 2 DON PASCUAL ROBLE (CS TT) + COPA                                DON PASCUAL                                                   7730135001414      6 N     20150504T0309  A      
7730135000004 10250                W.CLAN MC.GREGOR 1 LT                                                  WILLIAM GRANT'S & SON                                         5010327903101     12 N     20150504T0309  A      
7730135000004 10251                W.GRANT'S 3 LT C/BAL Y CAJA                                            WILLIAM GRANT'S & SON                                         5010327200200      1 N     20150504T0309  A      
7730135000004 10254                W.GRANT'S 1 LT C/ESTUCHE                                               WILLIAM GRANT'S & SON                                         5010327000039     12 N     20150504T0309  A      
7730135000004 10258                W.GRANT'S 18Y 75 CL C/CAJA                                             WILLIAM GRANT'S & SON                                         5010327205106     12 N     20150504T0309  A      
7730135000004 10259                W.GLENFIDDICH 1 LT C/TUBO                                              WILLIAM GRANT'S & SON                                         5010327302201     12 N     20150504T0309  A      
7730135000004 10260                W.GLENFIDDICH 15Y 70CL CYT                                             WILLIAM GRANT'S & SON                                         5010327325125     12 N     20150504T0309  A      
7730135000004 10261                W.GLENFIDDICH 18Y 70CL CYT                                             WILLIAM GRANT'S & SON                                         5010327325132     12 N     20150504T0309  A      
7730135000004 10268                PACK PDS SB+SB+SB                                                      PUEBLO DEL SOL                                                7730135001117      1 N     20150504T0309  A      
7730135000004 10269                PACK PDS TR+TR+TR                                                      PUEBLO DEL SOL                                                7730135001124      1 N     20150504T0309  A      
7730135000004 10270                PACK PDS MALBEC+TORRONTES                                              PUEBLO DEL SOL                                                7730135001407      1 N     20150504T0309  A      
7730135000004 10277                CASTELAR BRUT ROSE                                                     CASTERLAR                                                     7730135001872      6 N     20150504T0309  A      
7730135000004 10278                DON PASCUAL RESERVE TOURIGA                                            DON PASCUAL                                                   7730135001865      6 N     20150504T0309  A      
7730135000004 10280                PETIT CASTELAR 187 ML                                                  CUVEE CASTELAR                                                7730135001421     12 N     20150504T0309  A      
7730135000004 10281                CASTELAR BRUT RESERVE S/T                                              CUVEE CASTELAR                                                7730135000721      6 N     20150504T0309  A      
7730135000004 10282                CASTELAR EXTRA BRUT  S/T                                               CUVEE CASTELAR                                                7730135000592      6 N     20150504T0309  A      
7730135000004 10283                GANCIA ONE                                                             CEPAS ARGENTINAS                                              7790950000115     12 N     20150504T0309  S      
7730135000004 10305                CASA MAGREZ GRAN RESERVA                                               CASA MAGREZ                                                   3178753058146      1 N     20150504T0309  A      
