GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730135000004 10306                DON PASCUAL RESERVE VIOGNIER                                           DP.3/4 RESERVA                                                7730135000820      6 N     20150504T0309  A      
7730135000004 10307                DON PASCUAL RESERVE P.NOIR                                             DP.3/4 RESERVA                                                7730135000172      6 N     20150504T0309  A      
7730135000004 10309                LICOR DE TANNAT                                                        DON PASCUAL                                                   7730135000837      6 N     20150504T0309  A      
7730135000004 10310                DON PASCUAL ROBLE PETIT VERDOT                                         DON PASCUAL                                                   7730135000844      6 N     20150504T0309  A      
7730135000004 10311                CYT RESERVADO CAB.SAUVIGNON                                            CONCHA Y TORO                                                 7804320116846     12 N     20150504T0309  A      
7730135000004 10312                CYT RESERVADO MERLOT                                                   CONCHA Y TORO                                                 7804320148397     12 N     20150504T0309  A      
7730135000004 10314                CYT RESERVADO SAUV.BLANC                                               CONCHA Y TORO                                                 7804320116815     12 N     20150504T0309  A      
7730135000004 10316                CYT RESERVADO CARMENERE                                                CONCHA Y TORO                                                 7804320116921     12 N     20150504T0309  A      
7730135000004 10318                CYT SUNRISE CAB.SAUVIGNON                                              CONCHA Y TORO                                                 7804320349114     12 N     20150504T0309  A      
7730135000004 10319                CYT SUNRISE MERLOT                                                     CONCHA Y TORO                                                 7804320581002     12 N     20150504T0309  A      
7730135000004 10321                CYT SUNRISE CARMENERE                                                  CONCHA Y TORO                                                 7804320053745     12 N     20150504T0309  A      
7730135000004 10323                CYT SUNRISE SAUV.BLANC                                                 CONCHA Y TORO                                                 7804320348179     12 N     20150504T0309  A      
7730135000004 10324                CYT SUNRISE CHARDONNAY                                                 CONCHA Y TORO                                                 7804320368115     12 N     20150504T0309  A      
7730135000004 10325                NORTON RESERVA CAB.SAUVIGNON                                           BIANCHI                                                       7792319678003      6 N     20150504T0309  A      
7730135000004 10326                CYT C.DIABLO SHIRAZ ROSE                                               CONCHA Y TORO                                                 7804320131344     12 N     20150504T0309  A      
7730135000004 10327                CYT C.DIABLO GEWURZTRAMINER                                            CONCHA Y TORO                                                 7804320127217     12 N     20150504T0309  A      
7730135000004 10328                CYT C.DIABLO CAB.SAUVIGNON                                             CONCHA Y TORO                                                 7804320303178     12 N     20150504T0309  A      
7730135000004 10329                CYT C.DIABLO SAUV.BLANC                                                CONCHA Y TORO                                                 7804320301174     12 N     20150504T0309  A      
7730135000004 10330                CYT C.DIABLO CHARDONNAY                                                CONCHA Y TORO                                                 7804320256900     12 N     20150504T0309  A      
7730135000004 10332                CYT C.DIABLO CARMENERE                                                 CONCHA Y TORO                                                 7804320087016     12 N     20150504T0309  A      
7730135000004 10333                CYT C.DIABLO SYRAH                                                     CONCHA Y TORO                                                 7804320510170     12 N     20150504T0309  A      
7730135000004 10334                CYT C.DIABLO MALBEC                                                    CONCHA Y TORO                                                 7804320510187     12 N     20150504T0309  A      
7730135000004 10335                CYT C.DIABLO PINOT NOIR                                                CONCHA Y TORO                                                 7804320510163     12 N     20150504T0309  A      
7730135000004 10336                CYT C.DIABLO MERLOT                                                    CONCHA Y TORO                                                 7804320985633     12 N     20150504T0309  A      
7730135000004 10337                CYT C.DIABLO CARMENERE 3/8                                             CONCHA Y TORO                                                 7804320162683     24 N     20150504T0309  A      
7730135000004 10338                CYT C.DIABLO CAB.SAUVIG 3/8                                            CONCHA Y TORO                                                 7804320656243     24 N     20150504T0309  A      
7730135000004 10339                CYT C.DIABLO SAUV.BLANC 3/8                                            CONCHA Y TORO                                                 7804320655246     24 N     20150504T0309  A      
7730135000004 10340                PACK PDS PN+PN+PN                                                      PUEBLO DEL SOL                                                7730135001100      1 N     20150504T0309  A      
7730135000004 10341                CYT C.DIABLO RESERVA PRIVADA                                           CONCHA Y TORO                                                 7804320272252     12 N     20150504T0309  A      
7730135000004 10342                CYT TRIO CAB.SAUVIGNON                                                 CONCHA Y TORO                                                 7804320520001     12 N     20150504T0309  A      
7730135000004 10343                CYT TRIO CHARDONNAY                                                    CONCHA Y TORO                                                 7804320563008     12 N     20150504T0309  A      
7730135000004 10344                CYT TRIO MERLOT                                                        CONCHA Y TORO                                                 7804320560007     12 N     20150504T0309  A      
7730135000004 10345                W.BALVENIE 12Y 1LT CYT                                                 WILLIAM GRANT'S & SON                                         5010327518121     12 N     20150504T0309  A      
7730135000004 10347                CYT MARQUES CAB.SAUVIGNON                                              CONCHA Y TORO                                                 7804320333175     12 N     20150504T0309  A      
7730135000004 10348                CYT MARQUES MERLOT                                                     CONCHA Y TORO                                                 7804320253480     12 N     20150504T0309  A      
7730135000004 10349                CYT MARQUES CHARDONNAY                                                 CONCHA Y TORO                                                 7804320411149     12 N     20150504T0309  A      
7730135000004 10351                DON PASCUAL RESERVE TEMPRANILLO ROSE                                   DP.3/4 RESERVA                                                7730135001094      6 N     20150504T0309  A      
7730135000004 10352                CYT TERRUNIO CAB.SAUVIGNON                                             CONCHA Y TORO                                                 7804320032313      6 N     20150504T0309  A      
7730135000004 10353                CYT TERRUNIO CARMENERE                                                 CONCHA Y TORO                                                 7804320032290      6 N     20150504T0309  A      
7730135000004 10354                CYT TERRUNIO SAUV.BLANC                                                CONCHA Y TORO                                                 7804320032276      6 N     20150504T0309  A      
7730135000004 10355                CYT TERRUNIO CHARDONNAY                                                CONCHA Y TORO                                                 7804320032245      6 N     20150504T0309  A      
7730135000004 10357                LATE HARVEST                                                           CONCHA Y TORO                                                 7804320328164     24 N     20150504T0309  A      
7730135000004 10358                CYT AMELIA                                                             CONCHA Y TORO                                                 7804320985640      6 N     20150504T0309  A      
7730135000004 10360                VIÑA SANTA TERESA CABERNET                                             VIÑA SANTA TERESA                                             7730135000936     12 N     20150504T0309  A      
7730135000004 10362                CYT DON MELCHOR                                                        CONCHA Y TORO                                                 7804320413143      6 N     20150504T0309  A      
7730135000004 10364                DM-VINO PERIQUITA TINTO                                                PERIQUITA                                                     5601174204000     12 N     20150504T0309  A      
7730135000004 10366                FEDERICO DE ALVEAR EXTRA BRUT                                          FEDERICO DE ALVEAR                                            7790480008940      6 N     20150504T0309  A      
7730135000004 10367                DON PASCUAL RESERVE CAB.FRANC                                          DP.3/4 RESERVA                                                7730135001001      6 N     20150504T0309  A      
7730135000004 10369                CYT ESPUMOSO BRUT                                                      CONCHA Y TORO                                                 7804320664002     12 N     20150504T0309  A      
7730135000004 10370                CYT ESPUMOSO DEMI SEC                                                  CONCHA Y TORO                                                 7804320663005     12 N     20150504T0309  A      
7730135000004 10371                PBLO.DEL SOL- ROBLE MALBEC                                             PBLO. DEL SOL                                                 7730135002732     12 N     20170215T1623  A      
7730135000004 10372                DON PASCUAL RESERVE SAUV.GRIS                                          DP.3/4 RESERVA                                                7730135000943      6 N     20150504T0309  A      
7730135000004 10373                DON PASCUAL RESERVE MARSELAN                                           DP.3/4 RESERVA                                                7730135000974      6 N     20150504T0309  A      
7730135000004 10374                PBLO.DEL SOL- ROBLE TANNAT                                             PUEBLO DEL SOL                                                7730135000950      6 N     20150504T0309  A      
7730135000004 10375                PBLO.DEL SOL- ROBLE CAB.SAUV.                                          PUEBLO DEL SOL                                                7730135000967      6 N     20150504T0309  A      
7730135000004 10380                TOSO BRUT ESPUMOSO PACK+187                                            TOSO                                                          7791670022012      6 N     20150504T0309  A      
7730135000004 10381                FEDERICO DE ALVEAR BRUT                                                FEDERICO DE ALVEAR                                            7790480001507      6 N     20150504T0309  A      
7730135000004 10382                FEDERICO DE ALVEAR DEMI SEC                                            FEDERICO DE ALVEAR                                            7790480001415      6 N     20150504T0309  A      
7730135000004 10385                W.GRANT'S 12Y LT C/CAJA                                                WILLIAM GRANT'S & SON                                         5010327133003      6 N     20150504T0309  A      
7730135000004 10418                W.GRANT'S  15Y 1 LT                                                    WILLIAM GRANT'S & SON                                         5010327133010      6 N     20150504T0309  A      
7730135000004 10426                NORTON COSECHA TARDIA                                                  BIANCHI                                                       7792319064073      6 N     20150504T0309  A      
7730135000004 10427                NORTON ESPUMANTE COSECHA ESPECIAL                                      BIANCHI                                                       7792319000217      6 N     20150504T0309  A      
7730135000004 10451                DON PASCUAL 3/8 CAB.MERLOT                                             DP.GUARDA                                                     7730135001247     12 N     20150504T0309  A      
7730135000004 10460                FAMILIA DEICAS MERLOT                                                  DP.GUARDA                                                     7730135001070      1 N     20150504T0309  A      
7730135000004 10467                VIÑA SANTA TERESA TANNAT ROSE                                          VIÑA SANTA TERESA                                             7730135001193     12 N     20150504T0309  A      
7730135000004 10469                DON PASCUAL CABERNET MERLOT                                            DON PASCUAL                                                   7730135001209      6 N     20150504T0309  A      
7730135000004 10482                RIO SOL CABERNET SYRAH                                                 RIO SOL                                                       7896013101109      6 N     20150504T0309  A      
7730135000004 10483                RIO SOL SYRAH RESERVA                                                  RIO SOL                                                       7896013102120     12 N     20150504T0309  A      
7730135000004 10494                DON PASCUAL ROBLE FUME BLANC                                           DON PASCUAL                                                   7730135000998      6 N     20150504T0309  A      
7730135000004 10495                CYT PALO ALTO                                                          CONCHA Y TORO                                                 7804320214085     12 N     20150504T0309  A      
7730135000004 10497                DON PASCUAL ED.LTDA SELECC. DEL ENOLOGO                                DON PASCUAL                                                   7730135000868      6 N     20150504T0309  A      
7730135000004 10582                CASTELAR PACK X 2                                                      CUVEE CASTELAR                                                7730135000899      1 N     20150504T0309  A      
7730135000004 10583                CASTELAR PACK X 4                                                      CUVEE CASTELAR                                                7730135001025      1 N     20150504T0309  A      
7730135000004 10586                NORTON CLASICO TINTO                                                   BIANCHI                                                       7792319065254      6 N     20150504T0309  A      
7730135000004 10587                NORTON CLASICO BLANCO                                                  BIANCHI                                                       7792319065261      6 N     20150504T0309  A      
7730135000004 10588                NORTON BARBERA                                                         BIANCHI                                                       7792319064042      6 N     20150504T0309  A      
7730135000004 10589                NORTON TEMPRANILLO                                                     BIANCHI                                                       7792319675750      6 N     20150504T0309  A      
7730135000004 10590                NORTON MALBEC                                                          BIANCHI                                                       7792319677976      6 N     20150504T0309  A      
7730135000004 10591                NORTON CABERNET                                                        BIANCHI                                                       7792319677969      6 N     20150504T0309  A      
7730135000004 10592                NORTON MALBEC 3/8                                                      BIANCHI                                                       7792319678546     12 N     20150504T0309  A      
7730135000004 10593                NORTON MALBEC D.O.C.                                                   BIANCHI                                                       7792319009906      6 N     20150504T0309  A      
7730135000004 10594                NORTON RESERVA MALBEC                                                  BIANCHI                                                       7792319678010      6 N     20150504T0309  A      
7730135000004 10595                NORTON ROBLE CAB.SAUVIGNON                                             BIANCHI                                                       7792319065292      6 N     20150504T0309  A      
7730135000004 10596                CYT FRONTERA CAB.SAUVIGNON                                             CONCHA Y TORO                                                 7804320559001     12 N     20150504T0309  A      
7730135000004 10597                CYT FRONTERA CARMENERE                                                 CONCHA Y TORO                                                 7804320135854     12 N     20150504T0309  A      
7730135000004 10598                CYT FRONTERA CHARDONNAY                                                CONCHA Y TORO                                                 7804320642277     12 N     20150504T0309  A      
7730135000004 10599                CYT FRONTERA MERLOT ROSE                                               CONCHA Y TORO                                                 7804320483115     12 N     20150504T0309  A      
7730135000004 10600                BIANCHI NUESTRO-BORGOÑA                                                BIANCHI                                                       7790703168161     12 N     20150504T0309  A      
7730135000004 10601                BIANCHI NUESTRO-CHABLIS                                                BIANCHI                                                       7790703168314     12 N     20150504T0309  A      
7730135000004 10602                BIANCHI NEW AGE                                                        BIANCHI                                                       7790703165207      6 N     20150504T0309  A      
7730135000004 10603                BIANCHI DON VALENTIN LACRADO                                           BIANCHI                                                       7790703100321     12 N     20150504T0309  A      
7730135000004 10604                BIANCHI VARIETAL CABERNET                                              BIANCHI                                                       7790703000232      6 N     20150504T0309  A      
7730135000004 10605                BIANCHI DOC SYRAH                                                      BIANCHI                                                       7790703167683      6 N     20150504T0309  A      
7730135000004 10606                BIANCHI VARIETAL MALBEC                                                BIANCHI                                                       7790703000256      6 N     20150504T0309  A      
7730135000004 10607                BIANCHI ESPUM. EXTRA BRUT                                              BIANCHI                                                       7790703165238      6 N     20150504T0309  A      
7730135000004 10608                BIANCHI FLIA. S. BLANC                                                 BIANCHI                                                       7790703166563      6 N     20150504T0309  A      
7730135000004 10609                BIANCHI FLIA. CHARDONNAY                                               BIANCHI                                                       7790703166556      6 N     20150504T0309  A      
7730135000004 10610                BIANCHI FLIA. MALBEC                                                   BIANCHI                                                       7790703167645      6 N     20150504T0309  A      
7730135000004 10611                BIANCHI FLIA. CABERNET                                                 BIANCHI                                                       7790703167638      6 N     20150504T0309  A      
7730135000004 10612                BIANCHI ENZO                                                           BIANCHI                                                       7790703166587      6 N     20150504T0309  A      
7730135000004 10614                BIANCHI DOC CHARDONNAY SEMILLON                                        BIANCHI                                                       7790703167324      6 N     20150504T0309  A      
7730135000004 10624                QUARA MALBEC                                                           QUARA                                                         7791690709030      6 N     20150504T0309  A      
7730135000004 10625                QUARA TORRONTES                                                        QUARA                                                         7791690709092      6 N     20150504T0309  A      
7730135000004 10626                QUARA TANNAT                                                           QUARA                                                         7791690709054      6 N     20150504T0309  A      
7730135000004 10627                QUARA CABERNET SAUVIGNON                                               QUARA                                                         7791690709078      6 N     20150504T0309  A      
7730135000004 10628                QUARA RESERVA MALBEC                                                   QUARA                                                         7791690711101      6 N     20150504T0309  A      
7730135000004 10629                QUARA RESERVA TORRONTES                                                QUARA                                                         7791690711149      6 N     20150504T0309  A      
7730135000004 10630                QUARA RESERVA TANNAT                                                   QUARA                                                         7791690711125      6 N     20150504T0309  A      
7730135000004 10639                DON PASCUAL CDF CS                                                     DON PASCUAL                                                   7730135001780      6 N     20180419T1813  A      
7730135000004 10642                W.GLENFIDDICH PACK X3 20 CL                                            WILLIAM GRANT'S & SON                                         5010327098104      4 N     20150504T0309  A      
7730135000004 10643                W.GRANT'S BOTELLON 4.5 LTS                                             WILLIAM GRANT'S & SON                                         5010327000510      1 N     20150504T0309  A      
7730135000004 10645                PACK FED.ALVEAR &  BIANCHI CHABLIS                                     FDA / BIANCHI                                                 7730135001186      1 N     20150504T0309  A      
7730135000004 10646                TOSO BRUT ESPUMOSO CON LATA                                            TOSO                                                          7791670015366      6 N     20150504T0309  A      
7730135000004 10647                FEDERICO DE ALVEAR ROSADO DULCE                                        FEDERICO DE ALVEAR                                            7790480008926      6 N     20150504T0309  A      
7730135000004 10648                TOSO EXTRA PINOT NOIR                                                  TOSO                                                          7791670023088      6 N     20150504T0309  A      
7730135000004 10649                PBLO.DEL SOL MALBEC                                                    PUEBLO DEL SOL                                                7730135001285      6 N     20150504T0309  A      
7730135000004 10674                PBLO.DEL SOL TORRONTES                                                 PUEBLO DEL SOL                                                7730135001292      6 N     20150504T0309  A      
7730135000004 10675                FAMILIA DEICAS MALBEC                                                  DP.GUARDA                                                     7730135001346     12 N     20150504T0309  A      
7730135000004 10680                NORTON MALBEC MERLOT                                                   BODEGA NORTON                                                 7792319676504      6 N     20150504T0309  A      
7730135000004 10681                NORTON CABERNET SYRAH                                                  BODEGA NORTON                                                 7792319676498      6 N     20150504T0309  A      
7730135000004 10698                TERMA LIGHT PACK X 3                                                   CEPAS ARGENTINAS                                              7730135001483      4 N     20150504T0309  A      
7730135000004 10700                ACEITE DE OLIVA E.V FAMILIA DEICAS                                     ACEITE FAMILIA DEICAS                                         7730135001377     12 N     20150504T0309  A      
7730135000004 10701                EMBASSY CLUB 1 LT                                                      EMBASSY                                                       5010509007054     12 N     20150504T0309  A      
7730135000004 10708                POMMERY BRUT ROYAL  C/LATA                                             POMMERY                                                       3352370002830      6 N     20150504T0309  A      
7730135000004 10709                POMMERY ROSE C/LATA                                                    POMMERY                                                       3352370002052      6 N     20150504T0309  A      
7730135000004 10747                ATLANTICO SUR TANNAT                                                   ATLANTICO SUR                                                 7730135001667      6 N     20150504T0309  A      
7730135000004 10748                ATLANTICO SUR CABERNET SAUVIGNON                                       ATLANTICO SUR                                                 7730135001544      6 N     20150504T0309  A      
7730135000004 10749                ATLANTICO SUR SAUVIGNON BLANC                                          ATLANTICO SUR                                                 7730135001575      6 N     20150504T0309  A      
7730135000004 10750                ATLANTICO SUR RESERVE TANNAT ROSE                                      ATLANTICO SUR                                                 7730135001582      6 N     20150504T0309  A      
7730135000004 10755                PACK DIA DEL PADRE 2 DP.ROBLE + SACACORCHO                             DON PASCUAL                                                   7730135001803      6 N     20150504T0309  A      
7730135000004 10759                TAYLOR'S FINE TAWNY                                                    TAYLOR´S                                                      5013626111222      6 N     20150504T0309  A      
7730135000004 10760                FONSECA BIN 27                                                         TYLOR´S                                                       5013521100451      6 N     20150504T0309  A      
7730135000004 10761                TAYLOR'S SELECT                                                        TAYLOR´S                                                      5013626111246      6 N     20150504T0309  A      
7730135000004 10770                BOLLA PINOT GRIGIO                                                     GIV                                                           8008960246010      6 N     20150504T0309  A      
7730135000004 10771                BOLLA VALPOLICELLA                                                     GIV                                                           8008960136120      6 N     20150504T0309  A      
7730135000004 10772                CAVICCHIOLI LAMBRUSCO EMILIA BLANCO                                    GIV                                                           8001900628051      6 N     20150504T0309  A      
7730135000004 10773                CAVICCHIOLI LAMBRUSCO EMILIA TINTO                                     GIV                                                           8001900527057      6 N     20150504T0309  A      
7730135000004 10774                NEGRI INFERNO                                                          GIV                                                           8000160661709      6 N     20150504T0309  A      
