GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001820018 1010009085           ADOBO 9 X 85 G                                                         MONTE CUDINE                                                  7730177004787      9 N     20160705T1543  A      
7737001820018 1010015100           ADOBO 15 X 100 G                                                       MONTE CUDINE                                                  7730177000055     15 N     20171025T1108  A      
7737001820018 1010026004           ADOBO 26 X 4 G                                                         MONTE CUDINE                                                       77304261     26 N     20160513T1454  A      
7737001820018 1010026015           ADOBO 26 X 15 G                                                        MONTE CUDINE                                                  7730177000222     26 N     20160513T1454  A      
7737001820018 1010026025           ADOBO 26 X 25 G                                                        MONTE CUDINE                                                  7730177000130     26 N     20160513T1454  A      
7737001820018 1010030050           ADOBO 30 X 50 G                                                        MONTE CUDINE                                                  7730177003919     30 N     20160513T1454  A      
7737001820018 1010050004           ADOBO 50 X 4 G                                                         MONTE CUDINE                                                       77304261     50 N     20061027T1501  A      
7737001820018 1021026025           AJI MOLIDO 26 X 25 G                                                   MONTE CUDINE                                                  7730177000291     26 N     20160513T1454  A      
7737001820018 1030006085           AJIL 6 X 85G                                                           MONTE CUDINE                                                  7730177004497      6 N     20141029T1130  A      
7737001820018 1030010025           AJO Y PEREJIL T.INGLESA 10 X 25 G                                      TIENDA INGLESA                                                7730127003341     10 N     20180510T1324  A      
7737001820018 1030026008           AJIL 26 X 8 G                                                          MONTE CUDINE                                                       77303806     26 N     20160513T1454  A      
7737001820018 1030026025           AJIL 26 X 25 G                                                         MONTE CUDINE                                                  7730177000215     26 N     20160513T1454  A      
7737001820018 1030030040           AJIL 30 X 40 G                                                         MONTE CUDINE                                                  7730177000673     30 N     20160513T1454  A      
7737001820018 1030050008           AJIL 50 X 8 G                                                          MONTE CUDINE                                                       77303806     50 N     20061027T1501  A      
7737001820018 1041306200           AJO EN ESCAMAS 6 X 200 G                                               MONTE CUDINE                                                  7730177003315      6 N     20090415T0843  A      
7737001820018 1041326025           AJO EN ESCAMAS 26 X 25G.                                               MONTE CUDINE                                                  7730177003582     26 N     20160513T1454  A      
7737001820018 1051124025           ANÍS EN GRANO 24 X 25G.                                                MONTE CUDINE                                                  7730177000314     24 N     20160513T1454  A      
7737001820018 1051126008           ANÍS 26 X 8G                                                           MONTE CUDINE                                                       77304902     26 N     20160927T1640  A      
7737001820018 1060015001           AZAFRAN 15 X 2 DG                                                      MONTE CUDINE                                                  7730177000475     15 N     20171025T1109  A      
7737001820018 1060025002           AZAFRAN 25 CAPSULAS 2 DG                                               MONTE CUDINE                                                  7730177000475     25 N     20061027T1501  A      
7737001820018 1081006040           CANELA MOLIDA  6 X 40 G                                                MONTE CUDINE                                                  7730177000833      6 N     20061027T1501  A      
7737001820018 1081026005           CANELA MOLIDA 26 X 5G                                                  MONTE CUDINE                                                       77304896     26 N     20160513T1454  A      
7737001820018 1081026025           CANELA MOLIDA 26 X 25 G                                                MONTE CUDINE                                                  7730177000239     26 N     20160513T1454  A      
7737001820018 1081230025           CANELA EN RAMA 30 X 25 G                                               MONTE CUDINE                                                  7730177004831     30 N     20160927T1640  A      
7737001820018 1110001070           CHIMICHURRI 10 X 70 G                                                  MONTE CUDINE                                                  7730177000796     10 N     20170614T1151  A      
7737001820018 1110010070           CHIMICHURRI T.INGLESA 10 X 70 G                                        TIENDA INGLESA                                                7730127003365     10 N     20180510T1324  A      
7737001820018 1110106070           CHIMICHURRI SIN SAL 6 X 70 G                                           MONTE CUDINE                                                  7730177003360      6 N     20101005T1708  A      
7737001820018 1120030010           CLAVO DE OLOR GNO 30 X 10G                                             MONTE CUDINE                                                  7730177000338     30 N     20141029T1131  A      
7737001820018 1134101000           COLOR AMARILLO 1 LT                                                    MONTE CUDINE                                                  7730177001373      1 N     20061027T1501  A      
7737001820018 1134112020           COLOR AMARILLO 12 X 20 CC                                              MONTE CUDINE                                                       77310309     12 N     20090921T0951  A      
7737001820018 1134212020           COLOR AZUL 12 X 20 CC                                                  MONTE CUDINE                                                       77310323     12 N     20100111T0959  A      
7737001820018 1134312020           COLOR ROJO 12 X 20 CC                                                  MONTE CUDINE                                                       77310316     12 N     20091012T1441  A      
7737001820018 1134412020           COLOR VERDE 12 X 20 CC                                                 MONTE CUDINE                                                       77310330     12 N     20091203T1139  A      
7737001820018 1141026025           COMINO MOLIDO 26 X 25 G                                                MONTE CUDINE                                                  7730177000321     26 N     20160513T1454  A      
7737001820018 1150025002           CONDIFRAN 25 X 2 CAPSULAS                                              MONTE CUDINE                                                  7730177000482     25 N     20061027T1501  A      
7737001820018 1150025007           CONDIFRAN 25 CAPSULAS 7 DG                                             MONTE CUDINE                                                  1773017700127     25 N     20070615T1403  A      
7737001820018 1160001040           CONDIMENTO VERDE 10 X 40 G                                             MONTE CUDINE                                                  7730177000819     10 N     20180122T1306  A      
