GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001820018 1160006170           CONDIMENTO VERDE 6 X 170 G                                             MONTE CUDINE                                                  7730177003308      6 N     20090415T0843  A      
7737001820018 1160026010           CONDIMENTO VERDE 26 X 10 G                                             MONTE CUDINE                                                       77303943     26 N     20160513T1454  A      
7737001820018 1160026025           CONDIMENTO VERDE 26 X 25 G                                             MONTE CUDINE                                                  7730177000390     26 N     20160513T1454  A      
7737001820018 1161006190           CONDIMENTO VERDE SEMILLAS 6 X 190 GRS.                                 MONTE CUDINE                                                  7730177004978      6 N     20180703T1424  A      
7737001820018 1162006170           CONDIMENTO VERDE PLUS 6 X 170 GRS.                                     MONTE CUDINE                                                  7730177005029      6 N     20180719T1250  A      
7737001820018 1170026008           CONDIMENTON 26 X 8 G                                                   MONTE CUDINE                                                       77304285     26 N     20160513T1454  A      
7737001820018 1170026025           CONDIMENTON 26 X 25 G                                                  MONTE CUDINE                                                  7730177000277     26 N     20170717T1335  A      
7737001820018 1170050008           CONDIMENTON 50 X 8 G                                                   MONTE CUDINE                                                       77304285     50 N     20061027T1501  A      
7737001820018 1180024020           CONDIPEZ 24 X 20 G                                                     MONTE CUDINE                                                  7730177002264     24 N     20160513T1454  A      
7737001820018 1190024020           CONDIPOLLO 24 X 20G.                                                   MONTE CUDINE                                                  7730177002547     24 N     20160513T1454  A      
7737001820018 1210006035           CURRY 6 X 35 G                                                         MONTE CUDINE                                                  7730177000840      6 N     20061027T1501  A      
7737001820018 1210026025           CURRY 26 X 25 G                                                        MONTE CUDINE                                                  7730177000284     26 N     20160513T1454  A      
7737001820018 1223112020           ESENCIA DE ALMENDRA 12 X 20 CC                                         MONTE CUDINE                                                       77310286     12 N     20100302T1641  A      
7737001820018 1223712020           ESENCIA MENTA CJ 12 X 20 CC                                            MONTE CUDINE                                                       77310293     12 N     20140528T1709  A      
7737001820018 1270006055           MOJO PARRILLERO 6 X 55 G                                               MONTE CUDINE                                                  7730177004794      6 N     20160513T1454  A      
7737001820018 1270026010           MOJO PARRILLERO 26 X 10 G                                              MONTE CUDINE                                                  7730177000260     26 N     20160513T1454  A      
7737001820018 1301026005           NUEZ MOSCADA MOLIDA 26 X 5 G                                           MONTE CUDINE                                                       77304926     26 N     20160513T1454  A      
7737001820018 1301112501           NUEZ MOSCADA EN GRANO 25 X 8 G                                         MONTE CUDINE                                                  7730177003872     25 N     20061027T1501  A      
7737001820018 1310009055           OREGANO 9 X 55 G                                                       MONTE CUDINE                                                  7730177004862      9 N     20180504T1545  A      
7737001820018 1310010006           OREGANO T.INGLESA 10 X 6 G                                             TIENDA INGLESA                                                7730127003372     10 N     20180510T1324  A      
7737001820018 1310026004           OREGANO 26 X 4 G                                                       MONTE CUDINE                                                       77310699     26 N     20160513T1454  A      
7737001820018 1310026010           OREGANO 26 X 10 G                                                      MONTE CUDINE                                                  7730177000147     26 N     20160513T1454  A      
7737001820018 1310030025           OREGANO 30 X 25G                                                       MONTE CUDINE                                                  7730177000048     30 N     20141029T1130  A      
7737001820018 1310030050           OREGANO 30 X 50G                                                       MONTE CUDINE                                                  7730177000062     30 N     20141029T1130  A      
7737001820018 1310050004           OREGANO 50 X 4 G                                                       MONTE CUDINE                                                       77310699     50 N     20111004T0931  A      
7737001820018 1340006120           PIMENTON 6 X 120G                                                      MONTE CUDINE                                                  7730177004503      6 N     20141029T1130  A      
7737001820018 1340010035           PIMENTON T.INGLESA 10 X 35 G                                           TIENDA INGLESA                                                7730127003389     10 N     20180510T1324  A      
7737001820018 1340025050           PIMENTON 25 X 50 G                                                     MONTE CUDINE                                                  7730177000154     25 N     20061027T1501  A      
7737001820018 1340026008           PIMENTON 26 X 8 G                                                      MONTE CUDINE                                                       77304292     26 N     20160513T1454  A      
7737001820018 1340026025           PIMENTON 26 X 25 G                                                     MONTE CUDINE                                                  7730177000253     26 N     20160513T1454  A      
7737001820018 1340050008           PIMENTON 50 X 8 G                                                      MONTE CUDINE                                                       77304292     50 N     20061027T1501  A      
7737001820018 1347060250           PIMENTÓN LA ROSA 6X250G                                                LA ROSA                                                       7730177002950      6 N     20180703T1218  A      
7737001820018 1348360500           PIMENTÓN MC 6X500G                                                     MONTE CUDINE                                                  7730177001014      6 N     20180626T0948  A      
7737001820018 1348361000           PIMENTÓN MC 6 X 1 KG                                                   MONTE CUDINE                                                  7730177001007      6 N     20180612T0935  A      
7737001820018 1351006040           PIMIENTA BLANCA MOLIDA 6 X 40 G                                        MONTE CUDINE                                                  7730177000772      6 N     20061027T1501  A      
7737001820018 1351010040           PIMIENTA BLANCA MOLIDA T.INGLESA 10X40 G                               TIENDA INGLESA                                                7730127003396     10 N     20180510T1324  A      
7737001820018 1351026005           PIMIENTA BLANCA MOLIDA 26 X 5 G                                        MONTE CUDINE                                                       77304483     26 N     20160513T1454  A      
7737001820018 1351030025           PIMIENTA BLANCA MOLIDA 30 X 25G                                        MONTE CUDINE                                                  7730177000246     30 N     20160513T1454  A      
7737001820018 1351030050           PIMIENTA BLANCA MOLIDA 30 X 50 G                                       MONTE CUDINE                                                  7730177000208     30 N     20160513T1454  A      
7737001820018 1351050005           PIMIENTA BLANCA MOLIDA 50 X 5 G                                        MONTE CUDINE                                                       77304483     50 N     20061027T1501  A      
7737001820018 1351125025           PIMIENTA BLANCA EN GRANO 25 X 25 G                                     MONTE CUDINE                                                  7730177000437     25 N     20061027T1501  A      
7737001820018 1361006040           PIMIENTA NEGRA MOLIDA 6 X 40 G                                         MONTE CUDINE                                                  7730177000765      6 N     20061027T1501  A      
7737001820018 1361026025           PIMIENTA NEGRA MOLIDA 26 X 25 G                                        MONTE CUDINE                                                  7730177000307     26 N     20160513T1454  A      
7737001820018 1361126025           PIMIENTA NEGRA EN GRANO 26 X 25 G                                      MONTE CUDINE                                                  7730177000444     26 N     20160513T1454  A      
7737001820018 1361510047           MOLINILLO PIMIENTA NEGRA 10 X 47G                                      MONTE CUDINE                                                  7730177004817     10 N     20160927T1640  A      
7737001820018 1371510042           MOLINILLO DE PIMIENTAS 10 X 42G                                        MONTE CUDINE                                                  7730177004725     10 N     20160513T1454  A      
7737001820018 1390025025           RISOTTO ESPAÑOLA 25 X 25 G                                             MONTE CUDINE                                                  7730177004213     25 N     20140226T0945  A      
7737001820018 1410010075           SAL DE AJO 10 X 75 G                                                   MONTE CUDINE                                                  7730177000789     10 N     20170112T1603  A      
7737001820018 1420006070           SAL DE APIO 6 X 70 G                                                   MONTE CUDINE                                                  7730177000802      6 N     20061027T1501  A      
7737001820018 1430010065           SUSTITUTO DE SAL S/SODIO 10 X 65 G                                     MONTE CUDINE                                                  7730177003148     10 N     20170202T1052  A      
7737001820018 1441510085           MOLINILLO SAL C/HIERBAS 10 X 85G                                       MONTE CUDINE                                                  7730177004756     10 N     20160513T1454  A      
7737001820018 1450030015           TOMILLO 30 X 15 G                                                      MONTE CUDINE                                                  7730177004824     30 N     20160927T1640  A      
7737001820018 1460001000           VAINILLA 1 LT                                                          MONTE CUDINE                                                  7730177000604      1 N     20061027T1501  A      
7737001820018 1460006250           VAINILLA 6 X 250 CC                                                    MONTE CUDINE                                                  7730177000383      6 N     20061027T1501  A      
7737001820018 1460012020           VAINILLA 12 X 20 CC                                                    MONTE CUDINE                                                       77310248     12 N     20091007T1245  A      
7737001820018 1460012060           VAINILLA 12 X 60 CC                                                    MONTE CUDINE                                                  7730177000369     12 N     20061027T1501  A      
7737001820018 1460012120           VAINILLA 12 X 120 CC                                                   MONTE CUDINE                                                  7730177000376     12 N     20061027T1501  A      
7737001820018 1480120015           ALBAHACA 20 X 15G                                                      MONTE CUDINE                                                  7730177004312     20 N     20130813T1502  A      
7737001820018 1500114200           ARROZ ESPAÑOLA 14 X 200 G                                              MONTE CUDINE                                                  7730177003766     14 N     20180508T1226  A      
7737001820018 1500212200           ARROZ PRIMAVERA 12 X 200 G                                             MONTE CUDINE                                                  7730177003759     12 N     20110701T1144  A      
7737001820018 1500214200           ARROZ PRIMAVERA 14 X 200 G                                             MONTE CUDINE                                                  7730177003759     14 N     20180903T1312  A      
7737001820018 1500314200           ARROZ C/HONGOS 14 X 200 G                                              MONTE CUDINE                                                  7730177003780     14 N     20180814T1037  A      
7737001820018 1500514190           ARROZ C/QUESOS 14 X 190 G                                              MONTE CUDINE                                                  7730177003803     14 N     20180612T0935  A      
7737001820018 1500614200           ARROZ PAELLA 14 X 200 G                                                MONTE CUDINE                                                  7730177003797     14 N     20180725T1705  A      
7737001820018 1500714200           ARROZ C/ESPARRAGOS 14 X 200 G                                          MONTE CUDINE                                                  7730177003773     14 N     20180814T1037  A      
7737001820018 1510018060           SALSA BLANCA 18X60G                                                    MONTE CUDINE                                                  7730177000734     18 N     20130702T1431  A      
7737001820018 1510118054           SALSA BLANCA C/QUESO 18 X 54 G                                         MONTE CUDINE                                                  7730177002677     18 N     20120322T1245  A      
7737001820018 1510218054           SALSA BLANCA C/CEBOLLA Y PANCETA                                       MONTE CUDINE                                                  7730177003056     18 N     20130702T1431  A      
7737001820018 1520312200           PASTA C/SALSA DE QUESOS 12 X 200 G                                     MONTE CUDINE                                                  7730177003728     12 N     20110701T1144  A      
7737001820018 1520412200           PASTA C/SALSA BOLOGNESA 12 X 200 G                                     MONTE CUDINE                                                  7730177003742     12 N     20110701T1144  A      
7737001820018 1520512200           PASTA C/SALSA ALFREDO 12 X 200 G                                       MONTE CUDINE                                                  7730177003735     12 N     20110701T1144  A      
7737001820018 1530118070           SOPA CREMA ARVEJAS C/JAMON 18 X 70 G                                   MONTE CUDINE                                                  7730177004220     18 N     20160513T1454  A      
7737001820018 1530318073           (N) SOPA CREMA ESPARRAGOS 18 X 73G                                     MONTE CUDINE                                                  7730177004114     18 N     20160513T1454  A      
7737001820018 1530418067           SOPA CREMA DE CHOCLO 18 X 67 G                                         MONTE CUDINE                                                  7730177004855     18 N     20180504T1545  A      
7737001820018 1530518072           (N) SOPA CREMA DE POLLO 18 X 72 G                                      MONTE CUDINE                                                  7730177004138     18 N     20160513T1454  A      
7737001820018 1540115069           SOPA CASERA VERD C/FID 15 X 69G                                        MONTE CUDINE                                                  7730177004145     15 N     20141029T1130  A      
7737001820018 1540215059           SOPA CASERA VERDURAS C/ARROZ 15 X 59 G                                 MONTE CUDINE                                                  7730177004800     15 N     20160705T1543  A      
7737001820018 1540215060           SOPA CASER VERD C/ARROZ 15X60G                                         MONTE CUDINE                                                  7730177002707     15 N     20141029T1130  A      
7737001820018 1540315067           SOPA CASERA GALLINA C/FIDEOS 15 X 67G                                  MONTE CUDINE                                                  7730177004251     15 N     20160513T1454  A      
7737001820018 1540515074           (N) SOPA DE CARNE C/FIDEOS 15 X 74                                     MONTE CUDINE                                                  7730177004244     15 N     20160513T1454  A      
7737001820018 1551318048           SOPA CREMA ESPARRAGOS BAJA SODIO 18X48 G                               MONTE CUDINE                                                  7730177004152     18 N     20160513T1454  A      
7737001820018 1551718042           SOPA CREMA PUERRO BAJA SODIO 18 X 42 G                                 MONTE CUDINE                                                  7730177004169     18 N     20160513T1454  A      
7737001820018 1560112416           SOPA INST. DE ARVEJAS 12 X 4 X 16,5 G                                  MONTE CUDINE                                                  7730177004633     12 N     20160513T1454  A      
7737001820018 1560124016           (N) SOPA INST. ARVEJAS 24 X 16,5G                                      MONTE CUDINE                                                  7730177004367     24 N     20140702T1157  A      
7737001820018 1560312414           (N) SOPA INST. ESPARRAGOS 12X4X14.5G                                   MONTE CUDINE                                                  7730177004374     12 N     20160513T1454  A      
7737001820018 1560324014           (N) SOPA INST. ESPARRAGOS 24 X 14,5 G                                  MONTE CUDINE                                                  7730177004527     24 N     20160513T1454  A      
7737001820018 1560412414           (N)SOPA INST. CHOCLO 12X4X14.5                                         MONTE CUDINE                                                  7730177004053     12 N     20140702T1157  A      
7737001820018 1560424014           SOPA INST. CHOCLO 24 X 14,5 G                                          MONTE CUDINE                                                  7730177004084     24 N     20131113T1418  A      
7737001820018 1560602416           (N) SOPA INST. VEGETALES 24 X 16,5 G                                   MONTE CUDINE                                                  7730177004077     24 N     20130529T1605  A      
7737001820018 1560612416           (N)SOPA INST. VEGETALES 12 X 4 X 16,5G                                 MONTE CUDINE                                                  7730177004046     12 N     20130603T1051  A      
7737001820018 1560712414           (N)SOPA INST CALABAZA 12X4X14.5                                        MONTE CUDINE                                                  7730177004275     12 N     20140528T1709  A      
7737001820018 1560724014           SOPA INST. CALABAZA 24 X 14.5G                                         MONTE CUDINE                                                  7730177004411     24 N     20140612T1244  A      
7737001820018 1571312415           SOPA INST. ESPARRAGOS BAJA SODIO 12X4X15                               MONTE CUDINE                                                  7730177004176     12 N     20160513T1454  A      
7737001820018 1571612417           SOPA INST. VEGETALES BAJA SODIO 12X4X17                                MONTE CUDINE                                                  7730177004183     12 N     20160513T1454  A      
7737001820018 1580104010           CALDO DE VERDURA 40 X 9 G                                              MONTE CUDINE                                                  7730177002844     40 N     20070927T1514  A      
7737001820018 1580304010           CALDO DE GALLINA 40 X 9 G                                              MONTE CUDINE                                                  7730177002851     40 N     20070927T1514  A      
7737001820018 1580504010           CALDO DE CARNE 40 X 9 G                                                MONTE CUDINE                                                  7730177002868     40 N     20070927T1514  A      
7737001820018 1581121010           CALDO DE VERDURA 12 X 10 X 9 G                                         MONTE CUDINE                                                  7730177002813     12 N     20070927T1514  A      
7737001820018 1583121010           CALDO DE GALLINA 12 X 10 X 9 G                                         MONTE CUDINE                                                  7730177002820     12 N     20070927T1514  A      
7737001820018 1585121010           CALDO DE CARNE 12 X 10 X 9 G                                           MONTE CUDINE                                                  7730177002837     12 N     20070927T1514  A      
7737001820018 1589110410           CALDO DE VERDURA 10 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002783     10 N     20070927T1514  A      
7737001820018 1589310410           CALDO DE GALLINA 10 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002790     10 N     20070927T1514  A      
7737001820018 1589324410           CALDO DE GALLINA 24 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002790     24 N     20070927T1514  A      
7737001820018 1589510410           CALDO DE CARNE 10 X 4 X 9 G                                            MONTE CUDINE                                                  7730177002806     10 N     20070927T1514  A      
7737001820018 1589524410           CALDO DE CARNE 24 X 4 X 9 G                                            MONTE CUDINE                                                  7730177002806     24 N     20070927T1514  A      
7737001820018 1590112411           (N) SOPA INST.LIGHT ARVEJAS 12X4X11.5G                                 MONTE CUDINE                                                  7730177002592     12 N     20140528T1709  A      
7737001820018 1590312409           (N) SOPA INST.LIGHT ESPARRAGOS 12X4X9.5                                MONTE CUDINE                                                  7730177004206     12 N     20160513T1454  A      
7737001820018 1590324009           (N) SOPA INST. LIGHT ESPARRAGOS 24X9.5G                                MONTE CUDINE                                                  7730177004206     12 N     20140528T1709  A      
7737001820018 1590412409           (N)SOPA INST.LGH CHOCLO 12X4X9,5G                                      MONTE CUDINE                                                  7730177004091     12 N     20130516T1447  A      
7737001820018 1590424009           (N)SOPA INST LIGHT CHOCLO 24X9,5 G                                     MONTE CUDINE                                                  7730177004107     24 N     20130701T1436  A      
7737001820018 1590612412           SOPA INST. LIGHT DE VEGETALES 12X4X12 G                                MONTE CUDINE                                                  7730177002585     12 N     20100111T0959  A      
7737001820018 1590624012           SOPA INST. LIGHT VEGETALES 24 X 12 G                                   MONTE CUDINE                                                  7730177003391     24 N     20120614T1200  A      
7737001820018 1590712409           (N) SOPA INST. LIGHT CALABAZA 12X4X10G                                 MONTE CUDINE                                                  7730177004060     12 N     20130130T1511  A      
7737001820018 1590724010           SOPA INST. CALABAZA LIGHT 24 X 10G                                     MONTE CUDINE                                                  7730177004404     24 N     20140612T1244  A      
7737001820018 1610812100           PURE INST. DE VERDURAS 12 X 100 G                                      MONTE CUDINE                                                  7730177003926     12 N     20120511T1532  A      
7737001820018 1610912060           PURE INST. DE PAPAS 12 X 60 G                                          MONTE CUDINE                                                  7730177004008     12 N     20120925T1556  A      
7737001820018 1610912100           PURE INST. DE PAPAS LA ROSA 12 X 100 G                                 LA ROSA                                                       7730177003452     12 N     20100506T1218  A      
7737001820018 1610912125           PURE INST. DE PAPAS 12 X 125 G                                         MONTE CUDINE                                                  7730177002875     12 N     20130228T1421  A      
7737001820018 162006170            CONDIMENTO VERDE PLUS 6 X 170 GRS.                                     MONTE CUDINE                                                  7730177005029      6 N     20180710T1130  A      
7737001820018 1620910400           ALMIDON DE MAIZ 10 X 400 G                                             MONTE CUDINE                                                  7730177002882     10 N     20071214T1606  A      
7737001820018 1631100410           SAZON MORRON Y CEBOLLA 10 X 4 X 9 G                                    MONTE CUDINE                                                  7730177003117     10 N     20080714T1010  A      
7737001820018 1632100410           SAZON AJIL 10 X 4 X 9 G                                                MONTE CUDINE                                                  7730177003124     10 N     20080714T1010  A      
7737001820018 1633100410           SAZON HIERBAS Y PANCETA 10 X 4 X 9 G                                   MONTE CUDINE                                                  7730177003100     10 N     20080714T1010  A      
7737001820018 1640118040           SALSA DE QUESO 18 X 40 G                                               MONTE CUDINE                                                  7730177003476     18 N     20120621T1539  A      
7737001820018 1640218029           SALSA ALBAHACA 18 X 29 G                                               MONTE CUDINE                                                  7730177003469     18 N     20120621T1539  A      
7737001820018 1640318032           SALSA CARUSO 18 X 32 G                                                 MONTE CUDINE                                                  7730177003483     18 N     20120621T1539  A      
7737001820018 1640411830           SALSA DE CHAMPIGNONES 18 X 30G                                         MONTE CUDINE                                                  7730177004237     18 N     20130516T1555  A      
7737001820018 1640524015           SALSA PARA MAC&CHEDDAR 24 X 15G                                        MONTE CUDINE                                                  7730177004510     24 N     20141029T1130  A      
7737001820018 1650106150           SALSA DE SOJA 6 X 150 ML                                               MONTE CUDINE                                                  7730177003698      6 N     20111004T0931  A      
7737001820018 1650106300           SALSA DE SOJA 6 X 300 ML                                               MONTE CUDINE                                                  7730177003704      6 N     20111004T0931  A      
7737001820018 2113020091           VINO FINCA FLICHMAN CABERNET 750 CC                                    FINCA FLICHMAN                                                7790470005904      6 N     20061027T1501  A      
7737001820018 2113020092           VINO FINCA FLICHMAN MALBEC 750 CC                                      FINCA FLICHMAN                                                7790470080222      6 N     20061027T1501  A      
7737001820018 2113020093           VINO FINCA FLICHMAN CHARDONNAY 750 CC                                  FINCA FLICHMAN                                                7790470080369      6 N     20061027T1501  A      
7737001820018 2113020094           VINO FINCA FLICHMAN ROSE 750 CC                                        FINCA FLICHMAN                                                7790470082769      6 N     20061027T1501  A      
7737001820018 2113030094           VINO FF CAB. DE LA CEPA CABERNET 750 CC                                FINCA FLICHMAN                                                7790470051000      6 N     20061027T1501  A      
7737001820018 2113030095           VINO FF CAB. DE LA CEPA CHARD. 750 CC                                  FINCA FLICHMAN                                                7790470050966      6 N     20061027T1501  A      
7737001820018 2113030098           VINO FF CAB. DE LA CEPA SYRAH 750 CC                                   FINCA FLICHMAN                                                7790470080208      6 N     20061027T1501  A      
7737001820018 2113030099           VINO FF CAB. DE LA CEPA MALBEC 750 CC                                  FINCA FLICHMAN                                                7790470080185      6 N     20061027T1501  A      
7737001820018 2113031092           VINO FF CAB. DE LA CEPA RESERVA MALBEC 750 CC                          FINCA FLICHMAN                                                7790470000756      6 N     20171120T1533  A      
7737001820018 2113040096           VINO FINCA FLICHMAN DEDICADO 750 CC                                    FINCA FLICHMAN                                                7790470080574      6 N     20061027T1501  A      
7737001820018 2113040097           VINO FF DEDICADO GRAN CORTE 750 CC                                     FINCA FLICHMAN                                                7790470080574      6 N     20180504T1545  A      
7737001820018 2113040098           VINO FF DEDICADO TUPUNGATO 750CC                                       FINCA FLICHMAN                                                7790470082110      6 N     20180504T1601  A      
7737001820018 2113060099           VINO FF PAISAJE BARRANCAS 750 CC                                       FINCA FLICHMAN                                                7790470082097      6 N     20061027T1501  A      
7737001820018 2113070101           VINO FF MISTERIO CABERNET 750 CC                                       FINCA FLICHMAN                                                7790470082110      6 N     20061027T1501  A      
7737001820018 2113070103           VINO FF MISTERIO MALBEC 750 CC                                         FINCA FLICHMAN                                                7790470083094      6 N     20061027T1501  A      
7737001820018 2113090102           VINO FINCA FLICHMAN NUEVO EXTRA BRUT 750 CC                            FINCA FLICHMAN                                                7790470083841      6 N     20180124T0900  A      
7737001820018 2117010091           TRADITION RESERVE CABERNET SAUVIGNON                                   LOS BOLDOS                                                    7804338000021     12 N     20140602T1044  A      
7737001820018 2211124500           SAL FINA YODOFLUORADA 24 X 500 G                                       MONTE CUDINE                                                  7730177002165     24 N     20061027T1501  A      
7737001820018 2212124500           SAL GRUESA YODOFLUORADA 24 X 500 G                                     MONTE CUDINE                                                  7730177002172     24 N     20061027T1501  A      
7737001820018 2310000500           ACEITE DE OLIVA EXTRA VIRGEN 500 ML                                    MONTE CUDINE                                                  7730177003933     12 N     20111031T1525  A      
7737001820018 2310001000           ACEITE DE OLIVA EXTRA VIRGEN 1 LT                                      MONTE CUDINE                                                  7730177003940     12 N     20111031T1525  A      
7737001820018 2311001000           ACEITE DE OLIVA VIRGEN MONTE CUDINE 1 LT                               MONTE CUDINE                                                  7730177004879     12 N     20180504T1545  A      
7737001820018 2317001000           ACEITE OLIVA VIRGEN LA ROSA 1 LT                                       LA ROSA                                                       7730177004749     12 N     20160513T1454  A      
