GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1610801000           PURE INST. DE VERDURAS LA ROSA 1 KG                                    LA ROSA                                                       7730177003834      1 N     20150520T1102  A      
7730962840019 1610812100           PURE INST. DE VERDURAS 12 X 100 G                                      MONTE CUDINE                                                  7730177003926     12 N     20150520T1102  A      
7730962840019 1610901000           PURE DE PAPAS INST. 1 KG                                               MONTE CUDINE                                                  7730177003261      1 N     20150520T1102  A      
7730962840019 1610912060           PURE INST. DE PAPAS 12 X 60 G                                          MONTE CUDINE                                                  7730177004008     12 N     20150520T1102  A      
7730962840019 1610912100           PURE INST. DE PAPAS LA ROSA 12 X 100 G                                 LA ROSA                                                       7730177003452     12 N     20150520T1102  A      
7730962840019 1610912125           PURE INST. DE PAPAS 12 X 125 G                                         MONTE CUDINE                                                  7730177002875     12 N     20150520T1102  A      
7730962840019 1620910400           ALMIDON DE MAIZ 10 X 400 G                                             MONTE CUDINE                                                  7730177002882     10 N     20150520T1102  A      
7730962840019 1631100410           SAZON MORRON Y CEBOLLA 10 X 4 X 9 G                                    MONTE CUDINE                                                  7730177003117     10 N     20150520T1102  A      
7730962840019 1632100410           SAZON AJIL 10 X 4 X 9 G                                                MONTE CUDINE                                                  7730177003124     10 N     20150520T1102  A      
7730962840019 1633100410           SAZON HIERBAS Y PANCETA 10 X 4 X 9 G                                   MONTE CUDINE                                                  7730177003100     10 N     20150520T1102  A      
7730962840019 1640118040           SALSA DE QUESO 18 X 40 G                                               MONTE CUDINE                                                  7730177003476     18 N     20150520T1102  A      
7730962840019 1640218029           SALSA ALBAHACA 18 X 29 G                                               MONTE CUDINE                                                  7730177003469     18 N     20150520T1102  A      
7730962840019 1640318032           SALSA CARUSO 18 X 32 G                                                 MONTE CUDINE                                                  7730177003483     18 N     20150520T1102  A      
7730962840019 1640411830           SALSA DE CHAMPIGNONES 18X30G                                           MONTE CUDINE                                                  7730177004237     18 N     20150520T1102  A      
7730962840019 1640524015           SALSA PARA MAC&CHEDDAR 24X15G                                          MONTE CUDINE                                                  7730177004510     24 N     20150520T1102  A      
7730962840019 1650106150           SALSA DE SOJA 6 X 150 ML                                               MONTE CUDINE                                                  7730177003698      6 N     20150520T1102  A      
7730962840019 1650106300           SALSA DE SOJA 6 X 300 ML                                               MONTE CUDINE                                                  7730177003704      6 N     20150520T1102  A      
7730962840019 2113020091           VINO FINCA FLICHMAN CABERNET 750 CC                                    FINCA FLICHMAN                                                7790470005904      6 N     20150520T1102  A      
7730962840019 2113020092           VINO FINCA FLICHMAN MALBEC 750 CC                                      FINCA FLICHMAN                                                7790470080222      6 N     20150520T1102  A      
7730962840019 2113020093           VINO FINCA FLICHMAN CHARDONNAY 750 CC                                  FINCA FLICHMAN                                                7790470080369      6 N     20150520T1102  A      
7730962840019 2113020094           VINO FINCA FLICHMAN ROSE 750 CC                                        FINCA FLICHMAN                                                7790470082769      6 N     20150520T1102  A      
7730962840019 2113030094           VINO FF CAB. DE LA CEPA CABERNET 750 CC                                FINCA FLICHMAN                                                7790470051000      6 N     20150520T1102  A      
7730962840019 2113030095           VINO FF CAB. DE LA CEPA CHARD. 750 CC                                  FINCA FLICHMAN                                                7790470050966      6 N     20150520T1102  A      
7730962840019 2113030098           VINO FF CAB. DE LA CEPA SYRAH 750 CC                                   FINCA FLICHMAN                                                7790470080208      6 N     20150520T1102  A      
7730962840019 2113030099           VINO FF CAB. DE LA CEPA MALBEC 750 CC                                  FINCA FLICHMAN                                                7790470080185      6 N     20150520T1102  A      
7730962840019 2113040096           VINO FINCA FLICHMAN DEDICADO 750 CC                                    FINCA FLICHMAN                                                7790470080574      6 N     20150520T1102  A      
7730962840019 2113060099           VINO FF PAISAJE BARRANCAS 750 CC                                       FINCA FLICHMAN                                                7790470082097      6 N     20150520T1102  A      
7730962840019 2113060100           VINO FF PAISAJE TUPUNGATO 750                                          FINCA FLICHMAN                                                7790470082110      6 N     20150520T1102  A      
7730962840019 2113070101           VINO FF MISTERIO CABERNET 750 CC                                       FINCA FLICHMAN                                                7790470083216      6 N     20150520T1102  A      
7730962840019 2113070102           VINO FF MISTERIO SHIRAZ 750 CC                                         FINCA FLICHMAN                                                7790470083247      6 N     20150520T1102  A      
7730962840019 2113070103           VINO FF MISTERIO MALBEC 750 CC                                         FINCA FLICHMAN                                                7790470083094      6 N     20150520T1102  A      
7730962840019 2113070104           VINO FF MISTERIO CHARDONNAY 750 CC                                     FINCA FLICHMAN                                                7790470083186      6 N     20150520T1102  A      
7730962840019 2113080101           VINO FINCA FLICHMAN GESTOS MALBEC 750 CC                               FINCA FLICHMAN                                                7790470083728      6 N     20150520T1102  A      
7730962840019 2113090101           VINO FINCA FLICHMAN EXTRA BRUT 750 CC                                  FINCA FLICHMAN                                                7790470083841      6 N     20150520T1102  A      
7730962840019 2113100091           VINO FF RESERVA CABERNET 750CC                                         FINCA FLICHMAN                                                7790470082585      6 N     20150520T1102  A      
7730962840019 2113100092           VINO FF RESERVA MALBEC 750CC                                           FINCA FLICHMAN                                                7790470082639      6 N     20150520T1102  A      
7730962840019 2117010091           TRADITION RESERVE CABERNET SAUVIGNON                                   LOS BOLDOS                                                    7804338000021     12 N     20150520T1102  A      
7730962840019 2117010092           TRADITION RESERVE CARMENERE                                            LOS BOLDOS                                                    7804338000625     12 N     20150520T1102  A      
7730962840019 2117010093           TRADITION RESERVE MERLOT                                               LOS BOLDOS                                                    7804338000106     12 N     20150520T1102  A      
7730962840019 2211124500           SAL FINA YODOFLUORADA 24 X 500 G                                       MONTE CUDINE                                                  7730177002165     24 N     20150520T1102  A      
7730962840019 2211224500           SAL FINA YODADA 24 X 500 G                                             MONTE CUDINE                                                  7730177002134     24 N     20150520T1102  A      
7730962840019 2212124500           SAL GRUESA YODOFLUORADA 24 X 500 G                                     MONTE CUDINE                                                  7730177002172     24 N     20150520T1102  A      
7730962840019 2212224500           SAL GRUESA YODADA 24 X 500 G                                           MONTE CUDINE                                                  7730177002158     24 N     20150520T1102  A      
7730962840019 2310000500           ACEITE DE OLIVA EXTRA VIRGEN 500 ML                                    MONTE CUDINE                                                  7730177003933     12 N     20150520T1102  A      
7730962840019 2310001000           ACEITE DE OLIVA EXTRA VIRGEN 1 LT                                      MONTE CUDINE                                                  7730177003940     12 N     20150520T1102  A      
