GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1134012020           COLORES SURTIDOS 12 X 20 CC                                            MONTE CUDINE                                                  7730177003490     12 N     20150520T1102  A      
7730962840019 1134101000           COLOR AMARILLO 1 LT                                                    MONTE CUDINE                                                  7730177001373      1 N     20150520T1102  A      
7730962840019 1134112020           COLOR AMARILLO 12 X 20 CC                                              MONTE CUDINE                                                       77310309     12 N     20150520T1102  A      
7730962840019 1134212020           COLOR AZUL 12 X 20 CC                                                  MONTE CUDINE                                                       77310323     12 N     20150520T1102  A      
7730962840019 1134312020           COLOR ROJO 12 X 20 CC                                                  MONTE CUDINE                                                       77310316     12 N     20150520T1102  A      
7730962840019 1134412020           COLOR VERDE 12 X 20 CC                                                 MONTE CUDINE                                                       77310330     12 N     20150520T1102  A      
7730962840019 1141025025           COMINO MOLIDO 25 X 25 G                                                MONTE CUDINE                                                  7730177000321     25 N     20150520T1102  A      
7730962840019 1150025002           CONDIFRAN 25 X 2 CAPSULAS                                              MONTE CUDINE                                                  7730177000482     25 N     20150520T1102  A      
7730962840019 1150025007           CONDIFRAN 25 CAPSULAS 7 DG                                             MONTE CUDINE                                                  1773017700127     25 N     20150520T1102  A      
7730962840019 1160006040           CONDIMENTO VERDE 6 X 40 G                                              MONTE CUDINE                                                  7730177000819      6 N     20150520T1102  A      
7730962840019 1160006170           CONDIMENTO VERDE 6 X 170 G                                             MONTE CUDINE                                                  7730177003308      6 N     20150520T1102  A      
7730962840019 1160010040           CONDIMENTO SIN SAL T.INGLESA 10 X 40 G                                 TIENDA INGLESA                                                7730127003334     10 N     20150520T1102  A      
7730962840019 1160025010           CONDIMENTO VERDE 25 X 10 G                                             MONTE CUDINE                                                       77303943     25 N     20150520T1102  A      
7730962840019 1160025025           CONDIMENTO VERDE 25 X 25 G                                             MONTE CUDINE                                                  7730177000390     25 N     20150520T1102  A      
7730962840019 1170025008           CONDIMENTON 25 X 8 G                                                   MONTE CUDINE                                                       77304285     25 N     20150520T1102  A      
7730962840019 1170025025           CONDIMENTON 25 X 25 G                                                  MONTE CUDINE                                                  7730177000277     25 N     20150520T1102  A      
7730962840019 1170050008           CONDIMENTON 50 X 8 G                                                   MONTE CUDINE                                                       77304285     50 N     20150520T1102  A      
7730962840019 1180025020           CONDIPEZ 25 X 20 G                                                     MONTE CUDINE                                                  7730177002264     25 N     20150520T1102  A      
7730962840019 1190025020           CONDIPOLLO 25 X 20 G                                                   MONTE CUDINE                                                  7730177002547     25 N     20150520T1102  A      
7730962840019 1210006035           CURRY 6 X 35 G                                                         MONTE CUDINE                                                  7730177000840      6 N     20150520T1102  A      
